T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
579368, -3, 0, 1014, -1890, 3360, 700
579388, -22, -1, 1013, 210, 2030, -210
579408, -30, 8, 1008, 1680, 980, -1470
579428, -6, 11, 1022, 3920, 3640, 2520
579448, -15, 9, 1015, 3570, 3920, 3010
579468, -16, 19, 1009, 2030, -210, -2240
579488, -16, 13, 1013, 1120, -1610, -3360
579508, -4, 24, 1000, 910, 350, -1820
579528, -6, 17, 1009, 280, 0, -1820
579548, 7, 24, 1001, -630, -1820, -3710
579568, 3, 20, 998, -420, -1540, -2520
579588, -1, 10, 1011, -910, -1470, -2730
579608, -2, 10, 1016, -1890, -1260, -2800
579628, -3, 7, 1021, -2100, -280, -2520
579648, -9, 10, 1011, -1540, -350, -2450
579668, -6, 17, 1006, -210, 560, -1750
579688, -15, 16, 1002, -140, 3430, 70
579708, -11, 16, 1011, -700, 4550, 1400
579728, -8, 10, 1002, -1050, 4550, 3080
579748, -11, 15, 1014, -770, 1890, 2450
579768, -13, 14, 1017, -1400, 140, -420
579788, -15, 14, 1001, -1960, -910, -1330
579808, -11, 28, 996, -1820, -770, -210
579828, -9, 18, 1006, -2240, 0, -700
579848, -21, 20, 1012, -2730, 1400, 560
579868, -23, 17, 999, -3220, 0, -770
579888, -20, -3, 1021, -2940, -280, 70
579908, -19, 13, 1008, -3360, 1330, 1470
579928, -22, 12, 1020, -3010, 70, -1120
579948, -9, 9, 1007, -3010, -1610, -3010
579968, -13, 5, 1014, -1960, -2030, -1750
579988, -10, 6, 1020, -2100, -4270, -3150
580008, -15, 6, 1013, -1960, -3290, -1820
580028, -8, 10, 1009, -840, -1470, -280
580048, -8, 4, 1010, -1190, -630, -910
580068, -8, 25, 1000, -1050, -1330, -1680
580088, -2, 28, 997, -1330, -3010, -2450
580108, -15, 19, 1004, -2800, -5600, -3360
580128, 5, 6, 1005, -3290, -7280, -1610
580148, 2, 17, 1003, -1400, -6160, 1470
580168, 15, -9, 1026, 0, -5110, 3780
580188, -1, 7, 999, -490, -6930, 1330
580208, 8, 12, 1012, -1890, -8820, -2870
580228, 13, 2, 1019, -3780, -10710, -5390
580248, 9, 2, 1010, -4410, -11200, -6790
580268, 27, 18, 1010, -3220, -8540, -5040
580288, 27, 15, 1008, -3570, -7000, -5180
580308, 17, 0, 1014, -4900, -8960, -7840
580328, 31, 4, 1006, -4620, -8960, -8750
580348, 45, 7, 999, -2100, -4410, -5530
580368, 16, 0, 1009, -2520, -2660, -5460
580388, 23, 1, 1013, -2520, -700, -4340
580408, 29, -3, 1012, -1890, 490, -2800
580428, 28, 6, 1002, -910, 560, -2240
580448, 30, 8, 1001, -910, 560, -2170
580468, 31, 0, 1015, -1190, 1610, -1260
580488, 31, 0, 1014, -1400, 2800, -280
580508, 35, 2, 1007, -700, 3080, 210
580528, 29, 1, 1010, -840, 2240, -1050
580548, 25, -2, 1017, -2450, 210, -2590
580568, 23, -2, 1014, -2660, 210, -2940
580588, 21, 0, 1008, -1400, 1610, -1540
580608, 24, 0, 1010, -490, 1820, -1190
580628, 24, 6, 1006, -560, 910, -1750
580648, 19, 8, 1005, -980, 770, -1820
580668, 15, 0, 1011, -1470, 2030, -560
580688, 24, 2, 1012, -1750, 1050, -1190
580708, 23, 5, 1004, -1540, 140, -1610
580728, 18, 6, 1006, -630, 70, -1120
580748, 18, 6, 996, -770, 210, -840
580768, 28, -1, 1014, -2100, -770, -1610
580788, 28, -8, 1018, -3360, -840, -2170
580808, 27, 0, 1011, -2380, 70, -980
580828, 24, -6, 1016, -560, 770, -420
580848, 27, -1, 1008, -420, -70, -630
580868, 27, 4, 1010, -280, -140, -1120
580888, 23, 4, 1002, 140, 1190, -490
580908, 16, 5, 1004, 210, 2170, -70
580928, 16, 6, 1003, 210, 2310, 0
580948, 19, 0, 1015, 350, 3360, 1190
580968, 18, 0, 1019, -490, 2870, 630
580988, 13, 20, 1007, 980, 1610, -350
581008, 17, 13, 1007, 1190, 2520, 1050
581028, 10, 14, 1002, -210, 1050, -70
581048, 15, 7, 1013, -910, 1050, 0
581068, 16, 0, 1019, -630, 1610, 630
581088, 8, 12, 1014, 350, 2100, 1190
581108, 10, 14, 1000, 210, 2170, 1610
581128, 15, 9, 1007, -1470, 70, -630
581148, 11, 8, 1006, -2100, 490, -280
581168, 17, 6, 1007, -1680, 840, 280
581188, 17, 6, 1008, -2100, -490, -1190
