T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
924571, -15, -113, 1059, 3850, 2590, 4550
924591, -17, -113, 1014, 3010, -840, 4060
924611, -38, -118, 1029, 9800, -7630, 2240
924631, -27, -109, 978, 14280, -9870, 2310
924651, 11, -92, 970, 16520, -5390, 2940
924671, 24, -89, 1055, 11900, -280, 5320
924691, 10, -83, 1046, 5110, 3570, 7000
924711, -13, -84, 997, 6930, 2520, 3850
924731, -29, -88, 957, 11690, -4200, 770
924751, -26, -88, 1061, 11270, -4480, 280
924771, -43, -86, 1048, 5810, 5040, 1960
924791, -26, -65, 1037, 10080, 6790, 2240
924811, -27, -62, 972, 20370, -1820, 2380
924831, 39, -35, 979, 28840, -13790, 2940
924851, 34, -25, 1103, 31710, -25620, 5460
924871, 20, -16, 1076, 30450, -26530, 4830
924891, 16, 0, 1054, 40110, -32900, 1260
924911, 61, 36, 1091, 52570, -40670, -980
924931, 118, 86, 1105, 64680, -46340, -2870
924951, 150, 134, 1031, 83440, -57050, -3080
924971, 228, 203, 986, 132650, -105210, -4550
924991, 164, 206, 955, 141400, -94010, -11550
925011, 239, 293, 975, 152880, -68180, -30240
925031, 228, 326, 700, 184030, -52640, -46970
925051, 414, 455, 741, 200340, -102480, -33320
925071, 303, 451, 932, 173530, -128240, -43750
925091, -12, 272, 932, 174790, -130620, -85400
925111, 153, 423, 773, 174930, -113190, -96110
925131, 285, 553, 496, 164150, -2450, -95760
925151, 199, 604, 733, 136640, 76090, -88200
925171, 163, 617, 763, 121800, 84140, -70490
925191, 93, 685, 923, 135380, 60340, -44240
925211, 138, 707, 613, 115570, 47040, -35560
925231, 155, 773, 606, 85050, 21630, -32130
925251, 119, 734, 500, 73220, 1680, -27580
925271, 154, 780, 533, 80920, 4900, -25760
925291, 118, 785, 543, 101080, 4900, -21000
925311, 26, 1068, 509, 111370, 14490, -7770
925331, 237, 831, 555, 120750, 68670, 55370
925351, 224, 826, 482, 113820, 67970, 108640
925371, 130, 923, 401, 125160, 4270, 55720
925391, 87, 856, 197, 151970, -14770, 18130
925411, 160, 965, 309, 198170, -7910, 6580
925431, 186, 1031, 256, 217700, 7070, -560
925451, 145, 1054, 194, 193900, 5880, -17850
925471, 162, 977, 5, 173740, -7630, -32760
925491, 175, 987, -3, 167930, -12530, -35070
925511, -107, 1203, -51, 152600, 3080, -43400
925531, 12, 949, -23, 149170, 27090, -77910
925551, 69, 854, -128, 137620, 23730, -65030
925571, 50, 903, -222, 166530, 25900, -40460
925591, 91, 889, -262, 176120, 31080, -34650
925611, 90, 947, -281, 140840, 24640, -36120
925631, 21, 951, -291, 110600, 9030, -38990
925651, 13, 915, -325, 104720, -3360, -32060
925671, -25, 967, -424, 111090, -9170, -14700
925691, 9, 913, -436, 114870, -10920, -1960
925711, 69, 974, -486, 90020, -14280, 6160
925731, 63, 936, -481, 63980, -17570, 29540
925751, 45, 943, -489, 48300, -15680, 40320
925771, 129, 916, -427, 32410, -10010, 53200
925791, 46, 835, -517, 18130, 3220, 77630
925811, 135, 829, -501, 11410, 18550, 66500
925831, -71, 755, -533, -4410, -1190, 10290
925851, 39, 842, -452, 70, 490, 12250
925871, -276, 793, -517, 6860, -13860, -49000
925891, 750, 1082, -634, -6370, -59920, -125790
925911, 85, 940, -363, -7420, -73850, -79800
925931, 83, 881, -483, 22120, -5950, 27020
925951, 33, 852, -479, 28560, 8330, 38920
925971, 84, 851, -555, 47600, 6860, 39270
925991, 270, 832, -603, 71400, -350, 29820
926011, 55, 774, -403, 122080, 9450, 51660
926031, 35, 699, -563, 170590, 20230, 73080
926051, 147, 725, -516, 176330, -11410, 6440
926071, 126, 643, -619, 159250, -25340, -15890
926091, 157, 651, -673, 140490, -12810, -15120
926111, 167, 573, -624, 133490, 490, -2870
926131, 129, 633, -801, 107450, 20650, 24640
926151, 137, 572, -870, 79940, 58380, 54250
926171, 128, 517, -792, 74830, 79450, 72380
926191, 148, 497, -826, 60550, 60270, 93100
926211, 176, 522, -907, 37660, 18550, 87710
926231, 233, 489, -954, 38080, 2030, 77140
926251, 222, 463, -852, 35280, -5950, 67550
926271, 240, 417, -901, 53480, -8050, 57750
926291, 284, 447, -881, 62300, -18130, 36610
926311, 212, 370, -878, 66710, -19460, 27020
926331, 144, 396, -938, 67760, -31640, 9870
926351, 145, 272, -986, 63630, -55020, -24150
926371, 88, 302, -926, 57820, -73150, -51100
926391, 106, 330, -900, 57960, -79730, -56560
926411, 100, 317, -995, 40180, -85960, -60900
926431, 101, 248, -969, 31640, -77490, -51940
926451, 68, 277, -978, 35840, -50400, -38780
926471, 64, 283, -993, 53480, -32830, -34300
926491, 32, 328, -1002, 42700, -30940, -33600
926511, 19, 353, -970, 16450, -29610, -42000
926531, 34, 181, -981, -9870, -27650, -40880
926551, -30, 334, -949, -5460, -20020, -25830
926571, -29, 327, -1009, 18200, -14210, -28420
926591, 32, 324, -949, 20300, -17920, -39760
926611, -7, 285, -943, -2450, -16730, -37450
926631, -38, 64, -1053, -19180, -6510, -34510
926651, 0, 326, -971, -22820, -910, -19880
926671, -32, 297, -1012, 20160, 14210, -30730
926691, -51, 244, -1014, 31780, 10290, -43750
926711, -85, 201, -984, 15050, 7630, -37590
926731, -54, 303, -956, -6440, 3150, -15890
926751, 12, 276, -956, 5040, 6790, -20930
926771, -63, 271, -1001, 8400, 3080, -8400
926791, -51, 266, -1002, 7420, -3850, -7140
926811, -29, 234, -953, 8120, -10010, -13580
926831, -26, 243, -941, 12740, -8540, -21350
926851, -79, 270, -948, 11690, -13720, -31220
926871, -31, 269, -1027, 70, -18760, -45290
926891, -34, 248, -1006, -13090, -15190, -49140
926911, -60, 264, -982, -15890, 420, -36540
926931, -59, 287, -987, -15050, 15190, -24850
926951, -31, 220, -955, -13300, 31360, -2660
926971, -47, 250, -1011, -4410, 28560, -2380
926991, -74, 263, -989, -1400, 24710, -10710
927011, 25, 347, -1254, 9660, 38290, 770
927031, -99, 283, -774, 21350, 61600, 36750
927051, -4, 223, -892, 18130, 50330, 20720
927071, 32, 186, -1064, 3220, 22330, -8400
927091, 41, 222, -1027, 11760, 14140, -19880
927111, -20, 217, -979, 19320, 20160, -22540
927131, -12, 194, -1001, 16170, 17010, -21910
927151, 112, 218, -970, 8680, 10850, -23940
927171, 106, 262, -955, 8470, 6090, -24570
927191, 57, 204, -914, 23170, 10570, -24080
927211, 87, 186, -869, 23870, 18900, -22540
927231, 121, 149, -902, 21280, 18270, -25690
927251, 142, 136, -1002, 10220, 7000, -23380
927271, 105, 134, -1024, 2940, 2450, -18410
927291, 65, 157, -1007, 6160, 12110, -11830
927311, 0, 163, -951, 15540, 23800, -7140
927331, 4, 165, -981, 20510, 25620, -4480
927351, 99, 148, -1078, 18270, 17290, -7140
927371, 154, 131, -1082, 18410, 14000, -13160
927391, 149, 119, -1020, 29470, 17990, -9170
927411, 106, 109, -983, 41650, 31360, -3920
927431, 86, 100, -989, 44170, 39200, -4410
927451, 175, 64, -1051, 40530, 32970, -9940
927471, 233, 53, -981, 41720, 25620, -12670
927491, 209, 33, -940, 52570, 28630, -9030
927511, 206, 23, -969, 59710, 40040, -4270
927531, 241, -12, -1044, 56490, 38570, -4480
927551, 273, -37, -979, 53130, 25900, -5950
927571, 209, -64, -927, 62510, 17360, 2450
927591, 133, -71, -972, 74060, 25900, 14420
927611, 156, -102, -1061, 75810, 39620, 15190
927631, 242, -98, -990, 76720, 39760, 7980
927651, 316, -163, -900, 84210, 32690, -3430
927671, 343, -223, -1041, 85400, 28420, 3990
927691, 241, -206, -970, 91000, 27440, 11550
927711, 206, -180, -829, 97510, 21210, 13580
927731, 391, -254, -1076, 89180, 15330, 8890
927751, 294, -313, -910, 98910, 7280, 14910
927771, 392, -325, -797, 97370, 6370, 20230
927791, 219, -355, -876, 88900, 840, 30030
927811, 226, -307, -791, 87780, 8470, 31780
927831, 261, -334, -692, 100940, 15190, 36610
927851, 195, -430, -973, 95900, 1400, 46830
927871, 203, -460, -821, 91070, 490, 51240
927891, 204, -493, -764, 88200, 7070, 47250
927911, 254, -567, -771, 86030, 13440, 31500
927931, 260, -614, -742, 89040, 19390, 19530
