T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
906114, -149, -266, 938, 3360, -3150, -2660
906134, -166, -269, 942, 770, -980, -3150
906154, -167, -285, 930, -490, -2450, -5460
906174, -209, -288, 955, 1190, -1610, -8470
906194, -156, -302, 1009, -840, 210, -5250
906214, -181, -297, 992, 1750, -5040, -2030
906234, -184, -261, 953, 8540, -2030, -4690
906254, -141, -237, 930, 8750, -2660, -1960
906274, -152, -282, 994, 490, 700, 1190
906294, -147, -272, 993, -2730, 2450, -770
906314, -163, -266, 978, 4620, 1260, -3780
906334, -165, -256, 987, 9030, 1400, -6440
906354, -144, -271, 995, 8610, 1540, -5740
906374, -199, -260, 968, 10430, 3220, -6090
906394, -185, -263, 964, 14770, 6090, -7700
906414, -175, -246, 965, 14490, 3430, -4900
906434, -175, -244, 960, 15190, 4550, -3570
906454, -180, -243, 934, 14000, 4130, -4200
906474, -189, -237, 962, 11900, 5250, -5250
906494, -147, -236, 979, 7280, 4340, -2800
906514, -160, -213, 965, 4690, 840, -1120
906534, -162, -218, 968, 7070, 2660, -5180
906554, -162, -226, 953, 4760, 3080, -6370
906574, -176, -228, 945, 490, 6790, -5040
906594, -179, -198, 900, -3080, 11480, -4550
906614, -221, -244, 959, -4900, 15400, -6160
906634, -77, -323, 1023, -11760, 19670, -5810
906654, -206, -176, 921, -5880, 15190, -7420
906674, -261, -162, 956, 23380, 28980, -27370
906694, -504, -225, 984, 23590, 43050, -28140
906714, -149, -337, 883, -700, 16520, -15680
906734, -196, -290, 979, -22750, -38010, 6720
906754, -191, -248, 962, -20860, -33460, 11200
906774, -148, -271, 971, -6580, -27650, 2380
906794, -155, -232, 950, -4480, -34020, -490
906814, -147, -227, 950, -770, -38920, -2940
906834, -139, -233, 995, 6510, -40180, -8190
906854, -116, -224, 1018, 22400, -76370, -16100
906874, -48, -222, 1033, 27300, -126980, -36260
906894, 51, -197, 997, 24500, -172480, -54460
