T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
69492, -341, -595, 794, -9520, 3850, -1960
69512, -331, -613, 763, -24710, -4200, -7140
69532, -327, -664, 692, -43400, -9310, -4410
69552, -287, -678, 689, -43890, -12040, -1260
69572, -277, -640, 687, -25060, -7070, -980
69592, -312, -618, 710, -14280, -3640, 2030
69612, -348, -652, 729, -23030, -6230, 560
69632, -361, -683, 693, -45500, -11200, -7770
69652, -328, -685, 617, -69020, -12320, -22680
69672, -315, -730, 620, -82810, -8470, -36960
69692, -299, -797, 669, -88760, -4620, -39760
69712, -288, -816, 647, -102970, 8330, -35490
69732, -268, -811, 584, -119700, 18060, -18900
69752, -27, -903, 451, -121590, -5810, 18270
69772, -131, -878, 657, -76370, -31290, 17570
69792, -203, -847, 655, -910, 83510, -38290
69812, -308, -845, 500, 32270, 113610, 23170
69832, -429, -862, 465, 10990, 110250, 88900
69852, -419, -771, 447, 14140, 128800, 84910
69872, -624, -760, 678, 44800, 126280, 59080
69892, -650, -582, 874, 91350, 122920, 43120
69912, -525, -423, 642, 94500, 76300, 8120
69932, 159, -620, 556, -11480, -74480, -51100
69952, -237, -771, 683, -53900, -222250, -70000
69972, -553, -1038, 465, -24850, -83230, -67620
69992, -204, -1125, 515, -73570, 73640, -90720
70012, -236, -766, 611, -21000, -36190, -35000
70032, -345, -704, 627, 28770, -1470, 7630
70052, -246, -599, 683, -18620, 2170, -7980
70072, -340, -634, 537, -89180, 14980, -77000
70092, -340, -758, 432, -77560, -43960, -213430
70112, -255, -775, 257, -93730, -35350, -239120
70132, 135, -1091, 643, -86730, -8540, -152320
70152, -179, -1187, 222, -113960, -840, -50680
70172, -189, -927, 88, -195580, -97790, -118650
70192, -298, -916, 233, -72870, -91280, -111580
70212, 479, -816, 624, 86170, -161070, -65940
70232, 27, -370, 149, 11690, -76160, 15680
70252, -86, -647, 34, -153650, -53620, 58730
70272, -151, -921, -147, -290570, -66150, 96180
70292, -19, -883, -183, -255220, -93800, 171080
70312, -71, -836, -27, -205590, -10290, 181370
70332, -109, -744, 47, -200130, 181440, 133350
70352, -216, -712, 163, -250740, 283290, 59990
70372, -192, -849, -101, -387730, 282450, -28350
70392, -463, -771, -597, -559440, 152180, -96250
70412, 300, -665, -1997, -653240, 145740, -275100
70432, 554, -282, -1276, -547680, 459620, -350700
70452, 200, -645, -162, -349440, 541800, -142310
70472, 448, -695, -1060, 55440, 350, 112560
70492, 710, -435, -719, -280, -326410, 17990
70512, 194, -468, -882, -41930, -51380, -46760
70532, 246, -505, -752, -17780, 25970, 40810
70552, 215, -465, -719, -10360, 3850, 37520
70572, 289, -486, -721, 12320, -16170, 50680
70592, 331, -550, -745, 27930, -41020, 41580
70612, 301, -557, -840, 42840, -70350, 28070
70632, 230, -634, -802, 37870, -76510, 35980
70652, 190, -603, -812, 44590, -87640, 43540
70672, 162, -629, -770, 33530, -55650, 28630
70692, 159, -631, -776, 30590, -47530, 18410
70712, 102, -666, -795, 25830, -63000, 12670
70732, 52, -638, -803, 13650, -64400, 6440
70752, -7, -652, -747, 12180, -76650, 10570
70772, 60, -693, -871, 31290, -97720, 17640
70792, 17, -783, -913, 58100, -129640, 32480
70812, -134, -741, -910, 71400, -129920, 49700
70832, -380, -893, -624, 124040, -160300, 96320
70852, -419, -762, -388, 248570, -265090, 147910
70872, 355, -882, -1188, 405020, -359240, 167510
70892, -603, -831, -191, 499030, -484050, 190050
70912, -670, -662, -361, 415520, 118090, 214340
70932, -1060, -607, 126, 481460, 134610, 226940
70952, -1035, -154, 330, 473060, 337890, 57260
70972, -1167, -608, 722, 363160, 341530, -118930
70992, -866, -714, 297, 43750, -88970, -86870
71012, -92, -1218, -81, -147770, -364770, -100240
71032, -109, -687, 160, -70350, -144200, -139160
71052, -235, -839, 101, -26880, 16870, -74130
71072, -467, -794, 205, -17570, 26530, 30870
71092, -527, -864, 197, -17780, 53550, 55860
71112, -479, -859, 158, -37100, 32830, 70350
71132, -595, -822, 158, -47670, 44800, 79940
71152, -604, -864, 141, -57960, 67270, 79380
71172, -624, -895, 83, -73640, 55930, 81130
71192, -662, -864, 49, -82320, 54460, 95760
71212, -699, -871, 34, -80360, 61740, 105210
71232, -793, -908, 0, -79380, 58030, 105000
71252, -850, -919, -34, -81620, 50540, 106470
71272, -863, -858, -70, -89040, 46060, 114660
71292, -950, -831, -115, -101150, 49770, 119350
71312, -946, -762, -169, -107380, 74200, 116690
71332, -940, -730, -257, -109760, 99190, 98840
71352, -899, -694, -300, -98910, 97930, 58730
71372, -812, -617, -291, -74620, 68670, 8680
71392, -738, -579, -291, -40180, 30380, -38220
71412, -709, -618, -304, -17150, -1750, -90230
71432, -691, -670, -328, -1260, -32060, -138320
71452, -629, -637, -321, 24150, -50470, -168000
71472, -619, -658, -236, 50400, -47110, -191240
71492, -617, -818, -187, 59710, -56630, -218680
71512, -508, -945, -180, 62930, -118370, -286720
71532, -183, -968, -124, 87990, -246890, -383810
71552, -125, -1066, -145, 100240, -337120, -379820
71572, -364, -1142, -207, -38430, -279440, -143780
71592, -540, -1151, -367, -207200, -190890, 208320
71612, -557, -1089, -341, -286580, -58520, 369320
71632, -459, -923, -285, -195860, 40530, 289730
71652, -360, -802, -252, -3430, 103600, 72730
71672, -296, -860, -222, 122640, 212940, -125650
71692, -304, -1003, -251, 192150, 318360, -192150
71712, -435, -1152, -296, 182770, 431970, -108710
71732, -640, -1231, -411, 159460, 515410, 82600
71752, -715, -1207, -434, 136430, 594580, 250110
71772, -606, -957, -404, 199990, 650930, 261310
71792, -533, -756, -343, 360500, 662620, 162610
71812, -533, -686, -336, 481670, 796250, 68740
71832, -562, -728, -363, 413140, 908880, 90860
71852, -610, -796, -394, 349930, 987490, 152880
71872, -650, -827, -418, 324380, 1019270, 232540
71892, -724, -855, -433, 331520, 1017380, 317660
71912, -731, -792, -428, 366800, 1002050, 346780
71932, -758, -758, -431, 398160, 1004990, 306880
71952, -752, -729, -426, 429590, 1025920, 220080
71972, -724, -664, -418, 470750, 1040130, 124600
71992, -774, -753, -473, 504980, 1059870, 53480
72012, -915, -754, -513, 551040, 1078490, 17150
72032, -710, -578, -538, 623910, 1119370, -45220
72052, -697, -512, -513, 583660, 1253770, -102900
72072, -794, -535, -575, 546210, 1347780, 42770
72092, -685, -314, -430, 598990, 1303820, 236810
72112, -839, -454, -545, 605220, 1245930, 378140
72132, -869, -497, -549, 473060, 1312780, 432320
72152, -742, -379, -487, 462140, 1298080, 422380
72172, -740, -377, -462, 564550, 1177120, 421750
72192, -754, -401, -434, 649250, 1096410, 407330
72212, -828, -517, -423, 684460, 1066380, 340620
72232, -814, -571, -413, 657440, 1089060, 218750
72252, -725, -518, -358, 649040, 1086190, 93170
72272, -612, -469, -266, 660170, 1047690, 29120
72292, -578, -489, -223, 600320, 1031730, 31290
72312, -572, -542, -239, 444430, 1054830, 79170
72332, -555, -587, -220, 290010, 1051820, 130760
72352, -545, -668, -183, 223020, 983150, 163240
72372, -595, -845, -168, 226870, 855050, 193200
72392, -663, -1020, -136, 245840, 707560, 200130
72412, -721, -1176, -114, 265860, 562520, 150360
72432, -619, -1150, -78, 230860, 469070, 20230
72452, -496, -1056, -39, 125580, 435190, -148680
72472, -425, -966, -33, 26880, 363160, -202580
72492, -443, -931, -45, -46550, 236880, -142520
72512, -520, -969, -64, -79590, 69300, -45500
72532, -551, -988, -85, -101920, -83020, -6440
72552, -548, -989, -93, -153440, -180460, -77420
72572, -550, -1007, -132, -224770, -248570, -183960
72592, -579, -1013, -185, -301420, -324100, -236390
72612, -612, -952, -201, -331170, -453040, -203910
72632, -610, -839, -220, -317240, -619990, -117110
72652, -598, -743, -254, -355600, -727510, -59710
72672, -641, -740, -310, -449960, -761180, -53200
72692, -710, -786, -364, -529480, -780500, -59290
72712, -733, -798, -394, -478870, -898730, -139580
72732, -706, -761, -383, -417130, -962990, -209650
72752, -680, -746, -392, -411110, -997990, -239610
72772, -681, -753, -411, -433650, -1018850, -212450
72792, -681, -741, -404, -436170, -1036350, -163170
72812, -666, -730, -393, -438480, -1033480, -138950
72832, -629, -721, -377, -457870, -999320, -140980
72852, -620, -772, -372, -482440, -945980, -144690
72872, -633, -856, -392, -483980, -897260, -135800
72892, -649, -947, -391, -438550, -882210, -121380
72912, -646, -1020, -379, -366450, -882700, -102900
72932, -606, -1036, -351, -308350, -870170, -85120
72952, -610, -1113, -460, -288190, -826280, -63840
72972, 1990, -438, -1997, -211680, -813540, -24010
72992, -847, -884, -274, 332850, -408170, 88900
73012, -515, -929, -158, 507990, 438200, 172760
73032, -693, -956, -77, 261310, 502180, 110040
73052, -462, -968, -81, 117670, 525070, 78820
73072, -550, -1025, -25, -134960, 475510, -2660
73092, -975, -504, 518, -118720, 419580, -52150
73112, -765, -892, 40, -38710, 291970, -144550
73132, -502, -973, -524, 80080, 97510, -168490
73152, -782, -897, -422, 205870, 39550, -80780
73172, -585, -855, -246, 113470, 72730, 155260
73192, -611, -1041, -323, -16380, 43680, 244930
73212, -726, -985, -371, -56000, -34230, 144340
73232, -822, -963, -398, -31500, -105840, 38570
73252, -813, -1000, -391, -33880, -96810, 39130
73272, -785, -1179, -468, -39340, -100730, 88550
73292, -806, -1127, -482, -25550, -130200, 109340
73312, -865, -1051, -408, -15120, -147980, 99330
73332, -843, -1080, -376, -29050, -162120, 90160
73352, -831, -1116, -381, -35770, -171780, 97860
73372, -825, -1072, -302, -14630, -161770, 109480
73392, -835, -959, -174, -8820, -135520, 100170
73412, -763, -799, -124, -23030, -134120, 68250
73432, -654, -720, -166, 1820, -149870, 57680
73452, -613, -712, -131, 38430, -151550, 75880
73472, -483, -724, -165, 48720, -153300, 87990
73492, -507, -736, -58, 48230, -137900, 90300
73512, -514, -680, 30, 39340, -109340, 76930
73532, -589, -579, 40, 41440, -94570, 60760
73552, -705, -423, 141, 63490, -65310, 70210
73572, -469, -363, -8, 65310, -14910, 123340
73592, -214, -198, 49, 74480, -48580, 216440
73612, -576, -288, 191, 29330, -45570, 70840
73632, -597, -222, 217, 19390, -35980, 14070
73652, -610, -203, 252, 4970, -12740, 20160
73672, -658, -206, 296, -12950, -13930, 2100
73692, -676, -194, 302, -7420, -38430, -17990
73712, -723, -194, 321, 6790, -60200, -17360
73732, -743, -222, 373, 13580, -89110, -25620
73752, -770, -208, 404, 13930, -141400, -49000
73772, -791, -156, 531, 17710, -205240, -72380
73792, -758, -128, 536, 8260, -298760, -109620
73812, -137, -171, 590, -23450, -455280, -174370
73832, -193, -460, 651, -151130, -371770, -188090
73852, -583, -555, 765, -179760, -7630, -77700
