T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
329484, 115, -259, 952, -15820, -3010, -22470
329504, 92, -227, 989, -9030, -4130, -22050
329524, 64, -218, 1077, -8260, 140, -21140
329544, 108, -246, 1045, -3990, 5950, -22750
329564, 137, -248, 979, -7070, 6300, -24850
329584, 160, -251, 955, -14700, -350, -25410
329604, 164, -241, 941, -18270, -5600, -24850
329624, 203, -245, 954, -22540, -3570, -25270
329644, 217, -268, 991, -22470, 770, -24360
329664, 218, -270, 947, -32480, 630, -24150
329684, 238, -263, 841, -39830, -5670, -22470
329704, 199, -261, 806, -39760, -9170, -16450
329724, 138, -246, 945, -25130, -8750, -7700
329744, 160, -262, 1007, -13020, 2030, -6020
329764, 155, -277, 980, -10150, 5880, -6160
329784, 131, -279, 901, -21070, -280, -5250
329804, 143, -296, 850, -36330, -7000, -4760
329824, 177, -311, 737, -61460, -12810, -11410
329844, 202, -335, 725, -75740, -14770, -19740
329864, 192, -320, 789, -51170, -8610, -16310
329884, 146, -348, 864, -39550, -1540, -11480
329904, 107, -389, 960, -40250, -17990, -15890
329924, 130, -388, 852, -54320, -22890, -22050
329944, 152, -405, 787, -60200, -6300, -20860
329964, 181, -386, 862, -38360, 16800, -10080
329984, 160, -411, 946, -10920, 21070, -1540
330004, 205, -459, 1020, -5950, 9240, -5320
330024, 123, -479, 1016, -9660, 2030, -11340
330044, 89, -411, 1040, -13370, 17220, -4480
330064, 197, -746, 410, -35350, 20650, -2100
330084, 110, -585, 1277, -169190, -27370, -39200
330104, 357, -687, 973, -191660, -63770, -106820
330124, 308, -596, 870, -31710, -42700, -104090
330144, 256, -641, 817, -32130, 7630, -28140
330164, 282, -562, 780, -6300, 20090, -5740
330184, 327, -601, 869, 4060, 12810, -18830
330204, 429, -618, 821, 1190, 6580, -21210
330224, 353, -624, 727, -9870, 10150, -10990
330244, 330, -561, 714, -560, 4200, -3920
330264, 263, -633, 808, 5250, 3640, -3710
330284, 220, -737, 974, 14420, 10430, 3080
330304, 196, -760, 1154, 10640, 21980, 4480
330324, 146, -756, 840, -36750, 14980, -2240
330344, 110, -778, 875, -50960, 21140, -16030
330364, 159, -760, 809, -19110, 32410, -13230
330384, 256, -769, 852, -11480, 35980, -16450
330404, 217, -775, 852, -5390, 51940, 5670
330424, 58, -687, 874, -3920, 66850, 23800
330444, 44, -651, 854, -27930, 62720, 19600
330464, 47, -702, 822, -91630, 44590, 3220
330484, 129, -721, 952, -149800, 35770, 6510
330504, 50, -799, 896, -212030, 44030, 22120
330524, 38, -723, 705, -274330, 69790, 89600
330544, -87, -370, 543, -366380, 81900, 190470
330564, -494, -648, 317, -456050, 29120, 345240
330584, -840, -761, 34, -499100, -60130, 521220
330604, -1527, -1905, -811, -448770, -169260, 562310
330624, -583, -1045, -554, -349370, -45150, 277760
330644, -366, -615, -55, -49980, 160440, -160860
330664, -160, -483, -182, 147280, 309610, -250250
330684, -38, -539, -133, 64890, 514290, -275730
330704, -134, -909, -337, 10080, 513240, -300440
330724, -268, -1262, -549, -11410, 582400, -209510
330744, -401, -963, -533, 29260, 820750, 2800
330764, -654, -727, -561, 218820, 923090, 311920
330784, -775, -544, -627, 312830, 1033270, 542430
330804, -807, -398, -643, 309400, 1196300, 536970
330824, -832, -366, -699, 357280, 1315160, 433300
330844, -895, -358, -739, 485940, 1346520, 353850
330864, -1167, -716, -780, 688730, 1327970, 313250
330884, -1432, -1078, -767, 866460, 1323700, 295330
330904, -1320, -887, -738, 945000, 1363320, 223160
330924, -1071, -521, -645, 870170, 1491910, 72940
330944, -939, -307, -560, 748860, 1589350, 31500
330964, -967, -405, -519, 663040, 1588720, 150290
330984, -1193, -895, -517, 568120, 1536430, 297710
331004, -1496, -1652, -571, 488600, 1445710, 356720
331024, -1141, -1442, -313, 515900, 1282820, 258230
331044, -608, -805, -71, 623070, 883750, -131600
331064, -419, -522, -11, 345380, 838110, -82180
331084, -400, -597, -14, 180670, 689850, 28210
331104, -625, -1041, -60, 175840, 427070, 127540
331124, -790, -1265, -85, 277900, 101570, 146300
331144, -649, -1043, 26, 294420, -126560, -31990
331164, -425, -801, 35, 65520, -170170, -258720
331184, -442, -784, -71, -170730, -264320, -269360
331204, -624, -879, -182, -193480, -535080, -108640
331224, -698, -798, -163, -121310, -828870, 6370
331244, -590, -531, -148, -225820, -926450, -59640
331264, -633, -538, -317, -550270, -822010, -194390
331284, -867, -789, -481, -751380, -791210, -244020
331304, -908, -756, -541, -630210, -973350, -238140
331324, -753, -511, -461, -413630, -1199800, -271040
331344, -636, -392, -488, -394100, -1271830, -301490
331364, -606, -333, -447, -475580, -1252930, -239960
331384, -515, -237, -431, -488740, -1208830, -148540
331404, -373, -157, -385, -466060, -1163470, -101990
331424, -248, -133, -340, -476420, -1027810, -108920
331444, -189, -192, -295, -518280, -818790, -146510
331464, -236, -345, -293, -540820, -590730, -196140
331484, -233, -417, -286, -471520, -427070, -263830
331504, -151, -379, -261, -287840, -347830, -344120
331524, -89, -430, -254, -83580, -289240, -392070
331544, -75, -551, -215, 67340, -204400, -373730
331564, -71, -712, -164, 173110, -100170, -283780
331584, -195, -839, -152, 211470, 17850, -137480
331604, -330, -819, -245, 146790, 177240, 26810
331624, -402, -777, -284, 56420, 353220, 104090
331644, -330, -617, -275, 91630, 459830, 79660
331664, -279, -501, -223, 273420, 450380, 31850
331684, -321, -635, -171, 457520, 418670, 30660
331704, -478, -907, -97, 522690, 442820, 70490
331724, -626, -1080, -235, 423570, 551250, 126210
331744, -317, -358, -145, 183680, 705180, 159950
331764, -320, -164, -59, 59010, 756560, 157780
331784, -258, -298, -111, 78330, 694540, 147700
331804, -860, -1326, -623, -36400, 709310, 69090
331824, -1509, -1998, -596, -194530, 846230, -53690
331844, -1536, -1998, 361, 319410, 613970, -198240
331864, -1106, -1998, -478, 680470, 103390, -131250
331884, -753, -1182, -316, -45360, 260750, 80080
331904, -539, -866, -301, -227850, 194110, 22750
331924, -662, -1040, -100, 157430, -185640, -133070
331944, -942, -1998, -42, 159110, -399840, -374710
331964, -1586, -1998, -780, -394520, -202790, -340270
331984, -1077, -1571, -357, -298760, -528920, -154490
332004, -681, -786, -114, -24710, -871920, -254590
332024, -366, -544, -40, -312270, -768110, -445550
332044, -714, -1194, -434, -747810, -592970, -389270
332064, -1289, -1972, -683, -817810, -685790, -170170
