T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
1071429,-98,-17,1052,-6300,5460,-11480
1071449,-60,-4,992,-15540,5180,-20860
1071469,-19,0,990,-16450,10290,-27370
1071489,-68,-46,1023,-13510,11340,-24710
1071509,-98,-65,1053,-9660,7560,-14000
1071529,-127,-79,1071,-8260,350,-5810
1071549,-84,-107,1029,-21000,-7070,-4760
1071569,-28,-98,1024,-31010,-9940,-9590
1071589,-74,-121,1033,-9590,-1890,-11620
1071609,-89,-91,999,13720,2800,-4970
1071629,-87,-63,940,18690,-2520,1050
1071649,-88,-46,927,18270,6510,6790
1071669,-126,-29,988,26600,17780,11900
1071689,-155,-55,1024,34510,8960,12670
1071709,-147,-56,1045,20300,-11480,8540
1071729,-88,-61,1053,8120,-15400,5880
1071749,-48,-24,1043,9170,-4550,8820
1071769,-64,-21,1036,7350,-3220,6510
1071789,-79,-25,1029,-11690,-11970,10290
1071809,-93,-14,992,-10850,-2310,15260
1071829,-106,-6,977,-8960,910,14840
1071849,-145,-21,980,-11130,-6720,6580
1071869,-161,-50,1026,-12320,-5530,-4130
1071889,-69,-85,1143,-16870,4200,-8820
1071909,-46,-105,1143,-26250,4830,-7210
1071929,-57,-143,1069,-38500,1750,-5460
1071949,-51,-145,1026,-31850,6790,1190
1071969,-59,-130,1003,-7280,12530,4480
1071989,-70,-107,967,4060,11970,770
1072009,-44,-127,996,980,4200,-2310
1072029,-29,-141,1031,-2730,-630,-1750
1072049,-52,-150,1033,-1400,-630,140
1072069,-49,-161,1055,1540,2520,4060
1072089,-59,-174,1064,1540,-140,7630
1072109,-57,-180,1051,-3430,-3640,9590
1072129,-55,-191,1074,-4480,-2730,11970
1072149,-42,-182,1064,-2450,-3150,16520
1072169,-31,-149,1035,-560,-2590,22890
1072189,-35,-128,990,6090,-1120,30450
1072209,-49,-125,1013,15260,-1890,34650
1072229,-88,-132,1057,14910,-4480,35420
1072249,-55,-128,1081,280,-4060,29190
1072269,-9,-97,1057,-18690,-3710,20720
1072289,3,-80,1007,-31990,-4900,17220
1072309,-72,-101,1021,-28700,-9030,21280
1072329,-76,-154,1063,-14350,-11970,28910
1072349,-83,-165,1065,-9800,-9030,37170
1072369,-59,-111,991,-5740,-1680,40880
1072389,-72,-137,1005,-210,6090,39410
1072409,-111,-118,945,3990,6020,38290
1072429,-154,-129,945,5320,-3220,36260
1072449,-58,-39,947,8540,-5180,33530
1072469,-26,-23,993,13650,1330,29470
1072489,-23,-42,1050,21420,-420,24290
1072509,-44,26,1030,23940,-8120,18620
1072529,-111,53,1043,23030,-17220,7910
1072549,-105,41,1081,20440,-18200,-2870
1072569,-43,34,1067,13860,-3850,-9170
1072589,-62,-21,1032,2940,10570,-11550
1072609,-123,-33,1061,-4900,10920,-9380
1072629,-39,-35,1048,-5110,2100,-8960
1072649,-25,-33,1004,-9800,3290,5180
1072669,-86,-20,937,-7630,12530,25900
1072689,-185,-7,894,-1260,5810,42210
1072709,-162,16,905,3080,4970,33320
1072729,-98,10,950,2800,12180,21490
1072749,-27,0,977,-2520,13090,11900
1072769,-66,1,1009,-5600,2870,7490
1072789,-101,16,1003,-7140,-4690,4830
1072809,-87,14,975,-6160,-700,840
1072829,-49,10,941,-8050,11480,-4830
1072849,-55,9,914,-10710,18130,-7910
1072869,-57,18,931,-12950,15820,-10080
1072889,-15,1,988,-10850,10780,-11970
1072909,12,9,1016,-15470,3920,-14420
1072929,-41,24,1029,-28140,-4690,-16100
1072949,-151,12,970,-30030,-9450,-10990
1072969,-135,2,927,-15050,-3850,490
1072989,-69,-19,941,-9030,4900,350
1073009,-27,-44,998,-20300,8260,-9520
1073029,-43,-52,1017,-29820,5880,-15120
1073049,-76,-48,999,-27580,3780,-16380
1073069,-88,-48,950,-21840,-1260,-18620
1073089,-101,-52,923,-16730,-1190,-27510
