T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
410191,-1232,-899,-661,-482160,-1282330,-37730
410211,-1566,-1332,-687,-386610,-1442770,-53060
410231,-1814,-1998,-927,-422870,-1457330,-292530
410251,-1908,-1998,-1085,-711620,-1261120,-669900
410271,-1512,-1146,-812,-758170,-1352260,-708960
410291,-1242,-446,-754,-624610,-1694770,-445060
410311,-1467,-563,-954,-834400,-1726690,-246330
410331,-1872,-1062,-1119,-1109080,-1639680,-65800
410351,-1998,-1383,-1231,-1105090,-1694700,38220
410371,-1865,-1155,-1152,-897120,-1848560,-37660
410391,-1847,-1074,-1241,-819280,-1858920,-330610
410411,-1800,-698,-1183,-906990,-1800260,-503300
410431,-1346,0,-934,-830550,-1938440,-500920
410451,-1138,115,-941,-1076670,-1767080,-518560
410471,-1320,-163,-1040,-1231720,-1654030,-357910
410491,-1435,-304,-1014,-1123500,-1708000,-193970
410511,-1317,-175,-941,-948360,-1776740,-190260
410531,-1158,-76,-881,-916930,-1737120,-270900
410551,-1090,-137,-853,-961940,-1634290,-304640
410571,-1066,-185,-808,-956200,-1552110,-299250
410591,-956,-136,-746,-893830,-1500380,-329000
410611,-828,-67,-676,-844130,-1440530,-376740
410631,-710,-56,-626,-836500,-1352330,-402920
410651,-637,-133,-596,-832020,-1256080,-393960
410671,-638,-246,-565,-786030,-1182160,-355810
410691,-610,-307,-526,-682500,-1141910,-322490
410711,-543,-306,-458,-561120,-1107260,-326620
410731,-453,-300,-387,-486850,-1029700,-364070
410751,-372,-372,-340,-481530,-901600,-407540
410771,-369,-580,-342,-500220,-750820,-419720
410791,-382,-795,-350,-466690,-639800,-383600
410811,-371,-960,-321,-347620,-598010,-304360
410831,-346,-1058,-246,-206360,-583240,-184240
410851,-397,-1161,-198,-140350,-532910,-30240
410871,-538,-1309,-280,-211260,-391860,114170
410891,-578,-1363,-329,-341180,-185360,168210
410911,-526,-1342,-330,-372260,-16380,107730
410931,-460,-1281,-299,-268940,67690,22960
410951,-469,-1316,-273,-115570,117250,-3290
410971,-510,-1406,-259,-70,172550,34370
410991,-640,-1588,-301,42770,254590,96110
411011,-849,-1839,-427,-15330,395640,147980
411031,-876,-1833,-470,-107030,563780,137620
411051,-681,-1458,-379,-55370,655690,42560
411071,-595,-1201,-305,147070,638890,-18130
411091,-713,-1240,-367,263900,649250,22750
411111,-864,-1377,-489,216930,760130,60270
411131,-838,-1315,-512,192500,876960,1820
411151,-742,-1182,-459,325500,908320,-97370
411171,-754,-1153,-449,495390,897680,-107870
411191,-815,-1149,-500,532280,936530,-6720
411211,-808,-1005,-520,475580,1009260,115850
411231,-742,-800,-490,472990,1034880,197610
411251,-659,-597,-422,549850,1008980,234080
411271,-640,-510,-385,629230,982520,250600
411291,-697,-546,-404,626220,997220,279580
411311,-760,-618,-438,529130,1063790,301630
411331,-727,-604,-448,401590,1147300,234990
411351,-657,-521,-414,478660,1093610,204820
411371,-648,-497,-375,556920,1033270,218470
411391,-696,-553,-367,557830,1020740,225260
411411,-724,-620,-380,505470,1045730,185500
411431,-663,-587,-359,484750,1047760,120610
411451,-586,-524,-310,513660,1008490,92610
411471,-564,-517,-272,526750,958930,125090
411491,-576,-565,-259,479920,935830,171570
411511,-602,-637,-269,395850,934080,191870
411531,-618,-696,-268,328720,926590,177730
411551,-619,-742,-241,313110,890400,136010
411571,-588,-763,-212,330050,832440,77560
411591,-560,-807,-191,342720,772520,24570
411611,-578,-906,-186,323190,730240,1680
411631,-629,-1040,-204,279090,699930,2800
411651,-670,-1150,-230,243530,663460,-6300
