T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
34304, -342, -926, 426, 7490, 1120, 30240
34324, -376, -893, 416, 20020, 8470, 38290
34344, -355, -833, 439, 13790, -3850, 36750
34364, -455, -982, 388, 1190, -10780, 29190
34384, -306, -897, 464, 37940, 10710, 140
34404, -284, -894, 572, 39760, 33040, -630
34424, -683, -1505, 267, -96180, 51100, 109830
34444, -507, -1117, 284, -50610, -67620, 23590
34464, -351, -783, 276, 47320, -245770, -93310
34484, -185, -536, 211, 28280, -368970, -192360
34504, -23, -425, 134, -48510, -446460, -238000
34524, 98, -395, 80, -119630, -466340, -186830
34544, 123, -445, 61, -151900, -434420, -34930
34564, -17, -546, 122, -126280, -373310, 184940
34584, -191, -660, 220, -58590, -334810, 381710
34604, -336, -806, 344, 4690, -360850, 474530
34624, -372, -958, 424, 5180, -432670, 461440
34644, -591, -1220, 490, -99750, -468510, 422100
34664, -1014, -1663, 385, -321160, -409080, 427140
34684, -1204, -1901, 217, -516180, -391370, 401380
34704, -848, -1303, 175, -400610, -619080, 276080
34724, -476, -870, 112, -153580, -919730, 95200
34744, -328, -783, -10, -164640, -1002820, -4060
34764, -350, -813, -41, -242410, -958510, 67620
34784, -378, -793, 12, -171990, -933940, 200970
34804, -380, -712, 102, -28490, -954730, 267260
34824, -340, -617, 181, 37660, -977690, 256130
34844, -315, -645, 177, -38710, -963900, 224070
34864, -377, -833, 129, -217000, -896350, 232820
34884, -575, -1092, 142, -370510, -801500, 304080
34904, -764, -1209, 246, -385770, -749630, 391300
34924, -735, -1103, 274, -302960, -783930, 385490
34944, -530, -1036, 103, -301700, -844900, 242480
34964, -461, -1049, 23, -415520, -840280, 109130
34984, -454, -977, 60, -427280, -797300, 126630
35004, -431, -857, 95, -290710, -782320, 201670
35024, -361, -740, 93, -165060, -785470, 209230
35044, -218, -643, 66, -125370, -780570, 145180
35064, -113, -637, 44, -143570, -747740, 77910
35084, -130, -713, 67, -173600, -670250, 73010
35104, -240, -819, 130, -173110, -558810, 139020
35124, -319, -897, 198, -131320, -456470, 207340
35144, -294, -945, 228, -81130, -397460, 196070
35164, -242, -1015, 247, -106120, -306460, 31780
35184, -307, -1143, 243, -165550, -195860, 23940
35204, -417, -1291, 203, -201600, -77700, 43960
35224, -440, -1293, 209, -139790, -28000, 29820
35244, -383, -1127, 267, -12880, -32410, -19040
35264, -326, -1010, 260, 18970, 980, -86660
35284, -242, -958, 180, -42630, 81060, -159600
35304, -185, -920, 138, -72870, 170100, -198030
35324, -214, -933, 123, -44660, 265370, -176960
35344, -300, -989, 122, 6790, 358120, -132090
35364, -360, -1021, 157, 85820, 415730, -115920
35384, -425, -1058, 231, 167020, 444360, -134960
35404, -488, -1156, 230, 182910, 481320, -178920
35424, -470, -1192, 190, 161700, 522060, -245630
35444, -428, -1122, 181, 188720, 553000, -289030
35464, -455, -1070, 156, 231350, 605780, -269220
35484, -471, -998, 125, 245840, 673260, -231700
35504, -462, -890, 129, 277550, 707630, -222040
35524, -441, -833, 136, 314230, 713790, -236110
35544, -388, -790, 125, 320600, 715470, -264670
35564, -356, -761, 132, 307650, 728700, -281820
35584, -384, -797, 130, 274260, 766990, -263060
35604, -438, -876, 103, 216230, 820330, -229740
35624, -450, -910, 101, 181300, 852180, -215740
35644, -459, -914, 130, 205240, 848330, -213220
35664, -485, -945, 155, 246540, 830200, -198730
35684, -508, -966, 181, 265580, 807450, -185850
35704, -492, -945, 215, 277410, 769300, -194180
35724, -417, -906, 219, 280420, 716660, -224350
35744, -338, -876, 189, 255430, 669130, -257110
35764, -305, -850, 174, 222180, 642460, -254100
35784, -325, -859, 184, 203350, 635180, -197820
35804, -347, -893, 200, 191240, 628110, -121940
35824, -353, -921, 229, 183470, 597730, -68600
35844, -365, -963, 265, 185570, 541660, -39970
35864, -359, -993, 301, 186200, 473830, -23870
35884, -328, -1006, 325, 171150, 402430, -21420
35904, -322, -1027, 328, 134400, 339290, -20370
35924, -341, -1059, 308, 74060, 297430, -980
35944, -335, -1055, 298, 16450, 257950, 29260
35964, -319, -1012, 310, 1960, 191240, 52290
35984, -312, -984, 321, 18410, 105000, 68810
36004, -306, -979, 318, 17430, 25060, 83230
36024, -306, -988, 304, -15330, -42070, 94360
36044, -330, -1016, 293, -57050, -103320, 108500
36064, -376, -1038, 290, -88410, -232960, 164010
36084, -378, -1015, 287, -73990, -319970, 171080
36104, -361, -971, 279, -71750, -404110, 164010
36124, -364, -941, 259, -99470, -464030, 166810
36144, -384, -928, 231, -136780, -510930, 180250
36164, -401, -918, 201, -154070, -566790, 189070
36184, -411, -890, 186, -148470, -632730, 188790
36204, -409, -849, 180, -143500, -695800, 180460
36224, -389, -814, 160, -162680, -743050, 170590
36244, -380, -819, 134, -199920, -768740, 176400
36264, -398, -845, 130, -224140, -778960, 208040
36284, -437, -862, 150, -223930, -787080, 247380
36304, -455, -881, 155, -224140, -797300, 268870
36324, -459, -910, 144, -240100, -804090, 270970
36344, -457, -945, 135, -254170, -804020, 270900
36364, -467, -979, 141, -248080, -798000, 279580
36384, -492, -1013, 151, -223510, -789460, 290500
36404, -491, -1016, 159, -191520, -785260, 282590
36424, -453, -1004, 148, -169120, -782110, 246120
36444, -422, -1008, 147, -164290, -764470, 203770
36464, -423, -1022, 156, -161420, -728140, 179620
36484, -428, -1033, 167, -150640, -685440, 161910
36504, -406, -1034, 170, -140490, -645750, 127680
36524, -359, -1021, 173, -135310, -606690, 79240
36544, -325, -1025, 182, -134540, -555660, 39760
36564, -328, -1053, 191, -140070, -483770, 24150
36584, -339, -1080, 197, -141890, -403060, 21630
36604, -323, -1061, 209, -125370, -333760, 10150
36624, -291, -1022, 209, -99890, -274400, -15960
36644, -266, -1001, 194, -88970, -207830, -45850
36664, -241, -986, 176, -86870, -131600, -70000
36684, -233, -968, 168, -70140, -54600, -84350
36704, -243, -951, 172, -36120, 21840, -86940
36724, -255, -937, 167, 1890, 97720, -86380
36744, -256, -916, 169, 35490, 168140, -96110
36764, -262, -911, 162, 63280, 232610, -116550
36784, -271, -918, 148, 81760, 298060, -137690
36804, -287, -922, 141, 97720, 365750, -150710
36824, -313, -918, 145, 122780, 431620, -152390
36844, -350, -923, 149, 151620, 495040, -145180
36864, -382, -931, 147, 168490, 554540, -140980
36884, -392, -921, 152, 177800, 601790, -150850
36904, -396, -912, 154, 189000, 633990, -172270
36924, -401, -915, 155, 195230, 660590, -194320
36944, -418, -924, 151, 189280, 690340, -209230
36964, -443, -943, 152, 169120, 745220, -225680
36984, -453, -957, 153, 174720, 752290, -240100
37004, -457, -972, 163, 194600, 744590, -255010
37024, -467, -998, 183, 218750, 730870, -260820
37044, -492, -1031, 206, 234710, 716380, -259700
