T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
0,0.3372093023255814,0.3713450292397661,0.3173076923076923,-115570,-271530,66290
20,0.3313953488372093,0.3567251461988304,0.2980769230769231,-108780,-278600,69790
40,0.28488372093023256,0.2807017543859649,0.20192307692307693,-98070,-285040,72730
60,0.19186046511627908,0.15789473684210525,0.125,-85050,-290220,76370
80,0.10465116279069768,0.043859649122807015,0.09615384615384616,-69580,-293790,79590
100,0.08139534883720931,0.0,0.0673076923076923,-52570,-296100,81830
120,0.12209302325581395,0.043859649122807015,0.0,-42840,-289590,78610
140,0.2558139534883721,0.15789473684210525,0.057692307692307696,-36470,-276150,69160
160,0.3488372093023256,0.23391812865497075,0.07692307692307693,-22750,-263550,57260
180,0.38372093023255816,0.2631578947368421,0.07692307692307693,5670,-232680,45360
200,0.46511627906976744,0.32456140350877194,0.125,17850,-211960,42210
220,0.5290697674418605,0.3888888888888889,0.14423076923076922,24640,-184380,37450
240,0.563953488372093,0.45321637426900585,0.15384615384615385,29750,-154140,33670
260,0.6744186046511628,0.5555555555555556,0.23076923076923078,43330,-128520,28980
280,0.7732558139534884,0.6257309941520468,0.2980769230769231,48580,-95620,21560
300,0.7965116279069767,0.6578947368421053,0.3076923076923077,46130,-56980,18060
320,0.8837209302325582,0.7573099415204678,0.38461538461538464,52080,-24850,20860
340,0.9476744186046512,0.8333333333333334,0.38461538461538464,51940,11690,26460
360,0.9593023255813954,0.8888888888888888,0.3942307692307692,48720,51520,30870
380,0.9883720930232558,0.9502923976608187,0.4326923076923077,53270,85750,32480
400,0.936046511627907,0.935672514619883,0.4326923076923077,57890,119350,31430
420,0.8488372093023255,0.8771929824561403,0.40384615384615385,58450,154630,26950
440,0.7848837209302325,0.8362573099415205,0.4230769230769231,60480,186690,21140
460,0.6686046511627907,0.7280701754385965,0.375,59570,217210,14280
480,0.5406976744186046,0.6286549707602339,0.34615384615384615,58170,245280,4830
500,0.45348837209302323,0.5409356725146199,0.34615384615384615,63490,266140,-6930
520,0.36046511627906974,0.4415204678362573,0.3076923076923077,68740,283710,-19880
540,0.29651162790697677,0.4093567251461988,0.27884615384615385,72380,299180,-33950
560,0.27325581395348836,0.4064327485380117,0.28846153846153844,80640,308700,-47880
580,0.23837209302325582,0.35964912280701755,0.28846153846153844,91840,313390,-61740
600,0.14534883720930233,0.2719298245614035,0.27884615384615385,102690,315070,-74480
620,0.09883720930232558,0.195906432748538,0.25,114730,312130,-83790
640,0.046511627906976744,0.13450292397660818,0.3076923076923077,129360,302750,-88900
660,0.011627906976744186,0.09064327485380116,0.3076923076923077,143010,287630,-89320
680,0.01744186046511628,0.09649122807017543,0.3173076923076923,146300,276290,-91910
700,0.12790697674418605,0.1871345029239766,0.3942307692307692,149170,261940,-95270
720,0.20930232558139536,0.2543859649122807,0.4519230769230769,157080,239190,-93170
740,0.23837209302325582,0.28362573099415206,0.4807692307692308,159250,215740,-86450
760,0.29069767441860467,0.3216374269005848,0.5480769230769231,157710,191380,-77700
780,0.32558139534883723,0.35964912280701755,0.6153846153846154,155680,164500,-69510
800,0.38953488372093026,0.39766081871345027,0.625,146720,140280,-64470
820,0.47093023255813954,0.47953216374269003,0.7115384615384616,133700,116550,-61110
840,0.563953488372093,0.564327485380117,0.7692307692307693,122080,89460,-54460
860,0.6627906976744186,0.6695906432748538,0.8173076923076923,106050,63700,-46970
880,0.7383720930232558,0.7690058479532164,0.8557692307692307,86940,39130,-38640
900,0.8081395348837209,0.8567251461988304,0.9326923076923077,67620,14770,-31780
